scan_num,scan_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,frame_pressure_front,frame_pressure_back
800,-1,1,4083,416.26908,246068,7824,426,4.03,4.055
801,-1,1,4440,416.26974,220716,7653,353,4.03,4.055
802,-1,1,3627,416.27425,209791,7646,386,4.03,4.055
803,-1,1,3200,416.26769,211848,7769,368,4.03,4.055
804,-1,1,3042,542.29678,208245,7546,344,4.03,4.055
805,-1,1,2636,522.96905,201710,7267,322,4.03,4.055
806,-1,1,3663,522.63474,182681,7107,344,4.03,4.054
807,-1,1,2968,522.97422,219037,7095,349,4.03,4.054
808,-1,1,2939,522.97302,194502,7413,385,4.03,4.054
809,-1,1,5164,506.94722,204400,7335,357,4.03,4.054
