Internal data type,OMSSA,ProteoAnnotator,
spec_index,Spectrum number,Spectrum number,
spec_title,Filename/id,Filename/id,
seq,Peptide,Peptide,
evalue,E-value,FDRScore,
mass_obs,Mass,Mass,
gi,gi,gi,
prot_acc,Accession,Accession,
start,Start,Start,
stop,Stop,Stop,
defline,Defline,Defline,
mods,Mods,Mods,
charge,Charge,Charge,
mass_exp,Theo Mass,Theo Mass,
pvalue,P-value,Simple FDRScore,
,,,
,,,
CV mappings,,,
Data type,cvTerm,cvAccession,Search engine
evalue,OMSSA:evalue,MS:1001328,OMSSA
pvalue,OMSSA:pvalue,MS:1001329,OMSSA
evalue,FDRScore,MS:1001874,ProteoAnnotator
pvalue,Simple FDRScore,MS:1999999,ProteoAnnotator
